id,sex,bw_6,bw_12,bw_18,bw_24,dead,age(days),target
UT04880,0,36,57.9,60.3,57.5,1,1048,508
UT04881,0,35,46.4,49.3,50.9,1,857,317
UT04882,0,34,50.2,54.1,43.6,1,889,349
UT04883,0,37,54.8,63.2,63.7,1,808,268
UT04955,0,35,50.7,51.2,0,1,713,173
UT04956,0,35,49.9,57.1,0,1,668,128
UT04957,0,41,65.8,73.3,0,1,665,125
UT04958,0,38,54.2,57.6,0,1,654,114
UT04965,0,29,44,53.1,34.9,1,754,214
UT04966,0,36,56.3,63,59.4,1,1114,574
UT04967,0,26,37,44.3,42.5,1,844,304
UT04968,0,31,43.4,53.7,51.1,1,1089,549
UT05030,0,21,25.7,26.8,27.1,1,803,263
UT05031,0,24,34.9,37.5,35.7,1,1193,653
UT05032,0,26,29.2,33.6,30.8,1,962,422
UT05033,0,25,26.8,27.6,0,1,717,177
UT05040,0,36,52,57.5,57.3,1,1097,557
UT05041,0,40,53.5,62.5,55.2,1,918,378
UT05042,0,34,41,49,46.9,1,834,294
UT05043,0,40,56.3,66.1,68.9,1,892,352
UT05082,0,49,59.1,66.1,0,1,680,140
UT05083,0,37,48,56.1,56.1,1,1089,549
UT05084,0,24,32.9,37.4,31.2,1,1011,471
UT05085,0,35,39.5,42.2,38.8,1,1047,507
UT05092,0,25,40.8,50.7,49.7,1,780,240
UT05093,0,40,54.3,61,0,1,714,174
UT05094,0,35,48.8,50.9,0,1,780,240
UT05095,0,42,58.4,59.7,62.2,1,941,401
UT05125,0,30,45.3,48.8,44.6,1,758,218
UT05126,0,44,49.2,50.4,46,1,928,388
UT05127,0,30,40.4,42.3,37.7,1,774,234
UT05128,0,37,55.5,56.1,0,1,603,63
UT05132,0,41,51.5,64.2,65.9,1,1142,602
UT05133,0,38,54,63.4,54,1,978,438
UT05134,0,33,42,44.8,0,1,623,83
UT05135,0,34,47.5,58.8,58.7,1,982,442
UT05145,0,35,48.9,51.5,49.9,1,1050,510
UT05146,0,45,63.1,69.3,73,1,1038,498
UT05147,0,27,36.3,41,40.5,1,977,437
UT05148,0,36,46.2,47.7,35.1,1,747,207
UT05149,0,33,47.7,55.5,0,1,710,170
UT05150,0,30,41.2,46.9,0,1,629,89
UT05151,0,26,36.9,41.9,38.1,1,812,272
UT05152,0,34,52.1,63.8,66.4,0,1002,462
UT05156,0,43,49.7,54.6,55,1,995,455
UT05157,0,47,60.7,62.9,52.5,1,1014,474
UT05158,0,24,34.4,37.5,40.6,1,888,348
UT05159,0,33,44.6,53.2,51.2,1,941,401
UT05197,0,31,40.3,43.5,42.2,1,985,445
UT05198,0,30,32.1,31,35.6,1,870,330
UT05199,0,27,31.7,36.6,40.2,1,803,263
UT05200,0,24,24.5,27.2,25.8,1,1301,761
UT05241,0,23,27.9,33.6,31.5,1,776,236
UT05242,0,29,36.9,0,0,1,503,-37
UT05243,0,23,29.5,34.3,32.4,1,851,311
UT05244,0,27,32,32,31.1,1,874,334
UT05251,0,46,56.1,64.1,67.6,1,827,287
UT05252,0,40,47.2,55.6,58.1,1,866,326
UT05253,0,24,34.5,44,35.1,1,757,217
UT05254,0,39,49.9,54.8,44.5,1,917,377
UT05274,0,28,34.5,38.8,38.6,1,931,391
UT05275,0,27,32.7,38.1,39.1,1,833,293
UT05276,0,26,30.4,35.5,0,1,658,118
UT05277,0,24,26.5,30.9,0,1,639,99
UT05281,0,25,36.1,43,38.1,1,787,247
UT05282,0,29,36.1,45.8,0,1,697,157
UT05283,0,34,45.5,59,53,1,822,282
UT05284,0,30,43.9,53.8,49,1,933,393
UT05387,0,28,39.7,45,43.8,1,1234,694
UT05388,0,29,43.5,54.5,50.8,1,862,322
UT05389,0,24,32.8,44.5,48.8,1,832,292
UT05390,0,33,44.9,54,52.6,1,1193,653
UT05408,0,29,33.8,39.5,36,1,827,287
UT05409,0,26,32.9,36.8,38.5,1,952,412
UT05410,0,26,27.9,33.4,32.1,1,956,416
UT05411,0,26,34.8,46,48.7,1,862,322
UT05455,0,27,35.4,32.4,42,1,857,317
UT05456,0,29,29.8,33.9,34.3,1,926,386
UT05457,0,36,47.1,55,0,1,647,107
UT05458,0,28,40.6,44.3,29,1,868,328
UT05492,0,35,43.9,48.4,42.3,1,1005,465
UT05493,0,39,51.6,52.9,56.4,1,1050,510
UT05494,0,33,38.6,38.7,0,1,564,24
UT05495,0,44,53.9,56.2,52.4,1,791,251
UT05513,0,38,49.1,60.4,0,1,729,189
UT05514,0,37,40.9,51.2,0,1,628,88
UT05515,0,37,40.4,45.9,34.5,1,955,415
UT05516,0,28,39.2,0,0,1,518,-22
UT05523,0,26,35.7,44.1,36.4,1,796,256
UT05524,0,25,39.2,48.2,45.8,1,1094,554
UT05525,0,24,34.9,44.2,41.9,1,938,398
UT05526,0,35,46.8,50.7,0,1,680,140
UT06293,0,25,29.4,42.9,42.2,1,1190,650
UT06294,0,22,24.6,26.8,27.1,1,693,153
UT06295,0,32,34.5,0,0,1,357,-183
UT06296,0,24,26.1,26.2,27.1,1,995,455
UT06307,0,34,36.8,53.4,58.6,1,994,454
UT06308,0,39,35.1,44.2,43.8,1,883,343
UT06309,0,27,29.6,41.1,44.5,1,1148,608
UT06310,0,32,34.8,49.2,57.3,1,926,386
UT06311,0,30,32,40.5,44.1,1,895,355
UT06312,0,30,32.2,42,44.4,1,925,385
UT06313,0,45,49.6,58.2,61.8,1,759,219
UT06314,0,39,41.5,53.2,54.6,1,657,117
UT06402,0,31,34.1,40.4,42.5,1,690,150
UT06403,0,30,32.8,42.7,50.3,1,992,452
UT06404,0,40,42.7,54.8,54.4,1,670,130
UT06405,0,32,34.5,42.3,44,1,729,189
UT06406,0,31,33.8,42.5,44,1,901,361
UT06407,0,25,27,35.8,37.9,1,698,158
UT06408,0,36,39.7,49.6,48.4,1,771,231
UT06409,0,29,31.6,45,47,1,701,161
UT06413,0,29,31.4,45.7,43.8,1,905,365
UT06414,0,30,32.2,40.9,42.6,1,960,420
UT06415,0,41,43.7,57.9,67.3,1,814,274
UT06416,0,33,35.3,43.6,51.5,1,987,447
UT06440,0,35,37,54.6,60.8,1,693,153
UT06441,0,40,42.5,51.4,58.5,1,1071,531
UT06442,0,32,36.1,40.9,52.2,1,706,166
UT06443,0,31,33.9,46.2,53.5,1,1097,557
UT06474,0,40,42,50.5,51.4,1,935,395
UT06475,0,34,36.7,51.3,48.8,1,573,33
UT06476,0,26,28.9,41.6,47.6,1,726,186
UT06477,0,35,36.8,50.2,49.3,1,955,415
UT06481,0,29,30.7,40.8,45.4,1,922,382
UT06482,0,30,32.4,44.8,46.8,1,875,335
UT06483,0,30,32.8,38,49.9,1,739,199
UT06484,0,29,31.4,44.1,52.5,1,810,270
UT06525,0,30,32.3,48,47,1,1111,571
UT06526,0,26,28.8,43,0,1,442,-98
UT06527,0,30,31.4,37.8,39,1,913,373
UT06528,0,30,32.2,46.6,51.8,1,850,310
UT06539,0,45,48.7,63.1,74.7,1,1057,517
UT06540,0,26,27.1,32.7,36.7,1,828,288
UT06541,0,32,34.9,45.4,51.7,1,933,393
UT06542,0,29,30,32.7,29.2,1,1005,465
UT06574,0,20,23.6,27.6,38.1,1,825,285
UT06575,0,30,32,41,44.4,1,965,425
UT06576,0,25,27.8,35.1,37.7,1,919,379
UT06577,0,23,24.7,31,41.5,1,937,397
UT06581,0,28,30.9,41.6,47.7,1,976,436
UT06582,0,30,32,48.4,56.1,1,975,435
UT06583,0,23,25.4,33.2,38.2,1,1067,527
UT06584,0,30,33.6,46.5,49.2,1,997,457
UT06628,0,34,37.6,54.1,61.7,1,798,258
UT06629,0,35,36.9,48.5,53,1,756,216
UT06630,0,33,33.6,50.6,53.2,1,832,292
UT06631,0,34,35,53.5,52.1,1,557,17
UT06665,0,23,26.5,41.9,48.1,1,745,205
UT06666,0,39,41.6,51.9,53.1,1,804,264
UT06667,0,35,38.4,53.4,59.1,1,943,403
UT06668,0,25,27,32.3,33,1,741,201
UT06702,0,20,23.5,26.3,29,1,1099,559
UT06703,0,19,21.9,28.4,31.3,1,851,311
UT06704,0,28,30.1,47.3,51.2,1,795,255
UT06705,0,28,29.4,47.7,50.1,1,984,444
UT06721,0,19,32.1,38.7,0,1,390,-150
UT06722,0,46,36.2,57.9,58.2,1,946,406
UT06723,0,32,28.3,39.5,42.7,1,992,452
UT06724,0,40,36.3,47.9,50.5,1,666,126
UT06736,0,25,24.8,32.8,32.2,1,776,236
UT06737,0,21,23.5,26.7,27.1,1,971,431
